CustomerId,Recency,Frequency,Monetary,Tenure,CreditScore,IsActiveMember,Geography,Age,NumOfProducts,HasCrCard,EstimatedSalary,Exited,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment
15634602,9,1,0.0,2,619,1,France,42,1,1,101348.88,1,2,1,1,211,211,Lost
15647311,10,1,83807.86,1,608,1,Spain,41,1,0,112542.58,0,1,1,3,113,113,Lost
15619304,3,3,159660.8,8,502,0,France,42,3,1,113931.57,1,5,5,5,555,555,Champions
15701354,10,2,0.0,1,699,0,France,39,2,0,93826.63,0,1,3,1,131,131,Lost
15737888,9,1,125510.82,2,850,1,Spain,43,1,1,79084.1,0,2,1,4,214,214,Need Attention
15574012,3,2,113755.78,8,645,0,Spain,44,2,1,149756.71,1,5,3,4,534,534,Loyal Customers
15592531,4,2,0.0,7,822,1,France,50,2,1,10062.8,0,4,3,1,431,431,Lost
15656148,7,4,115046.74,4,376,0,Germany,29,4,1,119346.88,1,3,5,4,354,354,Loyal Customers
15792365,7,2,142051.07,4,501,1,France,44,2,0,74940.5,0,3,3,5,335,335,Loyal Customers
15592389,9,1,134603.88,2,684,1,France,27,1,1,71725.73,0,2,1,5,215,215,Need Attention
15767821,5,2,102016.72,6,528,0,France,31,2,0,80181.12,0,4,3,3,433,433,Loyal Customers
15737173,8,2,0.0,3,497,0,Spain,24,2,1,76390.01,0,2,3,1,231,231,Lost
15632264,1,2,0.0,10,476,0,France,34,2,1,26260.98,0,5,3,1,531,531,Lost
15691483,6,2,0.0,5,549,0,France,25,2,0,190857.79,0,3,3,1,331,331,Lost
15600882,4,2,0.0,7,635,1,Spain,35,2,1,65951.65,0,4,3,1,431,431,Lost
15643966,8,2,143129.41,3,616,1,Germany,45,2,0,64327.26,0,2,3,5,235,235,Need Attention
15737452,10,1,132602.88,1,653,0,Germany,58,1,1,5097.67,1,1,1,4,114,114,Need Attention
15788218,2,2,0.0,9,549,1,Spain,24,2,1,14406.41,0,5,3,1,531,531,Lost
15661507,5,1,0.0,6,587,0,Spain,45,1,0,158684.81,0,4,1,1,411,411,New Customers
15568982,5,2,0.0,6,726,1,France,24,2,1,54724.03,0,4,3,1,431,431,Lost
15577657,3,2,0.0,8,732,1,France,41,2,1,170886.17,0,5,3,1,531,531,Lost
15597945,3,2,0.0,8,636,0,Spain,32,2,1,138555.46,0,5,3,1,531,531,Lost
15699309,7,1,0.0,4,510,0,Spain,38,1,1,118913.53,1,3,1,1,311,311,Lost
15725737,8,2,0.0,3,669,1,France,46,2,0,8487.75,0,2,3,1,231,231,Lost
15625047,6,1,0.0,5,846,1,France,38,1,1,187616.16,0,3,1,1,311,311,Lost
15738191,8,2,0.0,3,577,1,France,25,2,0,124508.29,0,2,3,1,231,231,Lost
15736816,9,1,136815.64,2,756,1,Germany,36,1,1,170041.95,0,2,1,5,215,215,Need Attention
15700772,2,2,0.0,9,571,0,France,44,2,0,38433.35,0,5,3,1,531,531,Lost
15728693,8,1,141349.43,3,574,1,Germany,43,1,1,100187.43,0,2,1,5,215,215,Need Attention
15656300,11,2,59697.17,0,411,1,France,29,2,1,53483.21,0,1,3,2,132,132,About to Sleep
15589475,8,3,0.0,3,591,0,Spain,39,3,1,140469.38,1,2,5,1,251,251,Lost
15706552,4,1,85311.7,7,533,1,France,36,1,0,156731.91,0,4,1,3,413,413,New Customers
15750181,2,2,110112.54,9,553,0,Germany,41,2,0,81898.81,0,5,3,3,533,533,Loyal Customers
15659428,5,2,0.0,6,520,1,Spain,42,2,1,34410.55,0,4,3,1,431,431,Lost
15732963,2,2,0.0,9,722,1,Spain,29,2,1,142033.07,0,5,3,1,531,531,Lost
15794171,11,1,134264.04,0,475,0,France,45,1,1,27822.99,1,1,1,5,115,115,Need Attention
15788448,8,1,145260.23,3,490,1,Spain,31,1,0,114066.77,0,2,1,5,215,215,Need Attention
15729599,4,1,76548.6,7,804,1,Spain,33,1,0,98453.45,0,4,1,3,413,413,New Customers
15717426,4,1,0.0,7,850,1,France,36,1,1,40812.9,0,4,1,1,411,411,New Customers
15585768,5,2,70349.48,6,582,1,Germany,41,2,0,178074.04,0,4,3,2,432,432,Potential Loyalists
15619360,7,1,0.0,4,472,0,Spain,40,1,1,70154.22,0,3,1,1,311,311,Lost
15738148,3,1,122522.32,8,465,0,France,51,1,0,181297.65,1,5,1,4,514,514,New Customers
15687946,9,1,117419.35,2,556,1,France,61,1,1,94153.83,0,2,1,4,214,214,Need Attention
15755196,9,1,131394.56,2,834,0,France,49,1,0,194365.76,1,2,1,4,214,214,Need Attention
15684171,6,1,155931.11,5,660,1,Spain,61,1,1,158338.39,0,3,1,5,315,315,Lost
15754849,7,2,109421.13,4,776,1,Germany,32,2,1,126517.46,0,3,3,3,333,333,Loyal Customers
15602280,2,1,112045.67,9,829,1,Germany,27,1,1,119708.21,1,5,1,4,514,514,New Customers
15771573,2,1,137843.8,9,637,1,Germany,39,1,1,117622.8,1,5,1,5,515,515,New Customers
15766205,9,1,103391.38,2,550,1,Germany,38,1,0,90878.13,0,2,1,3,213,213,Lost
15771873,9,2,103769.22,2,776,0,Germany,37,2,1,194099.12,0,2,3,3,233,233,About to Sleep
15616550,1,2,116363.37,10,698,0,Germany,44,2,1,198059.16,0,5,3,4,534,534,Loyal Customers
15768193,6,2,146050.97,5,585,0,Germany,36,2,0,86424.57,0,3,3,5,335,335,Loyal Customers
15683553,6,2,0.0,5,788,0,France,33,2,0,116978.19,0,3,3,1,331,331,Lost
