customer_id,Geography,Gender,Age,Balance,NumOfProducts,frequency,recency,monetary_value,prob_alive,predicted_transactions_12m,predicted_monetary_value,clv_12m,clv_lifetime,clv_segment,churn_risk,CustomerId_x,Recency,Frequency,Monetary,Tenure,CreditScore,IsActiveMember,Geography_rfm,Age_rfm,NumOfProducts_rfm,HasCrCard,EstimatedSalary_x,Exited,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment,CustomerId_y,EstimatedSalary_y,revenue_tier,CLV_Tier,CLV_Lifetime_Tier,churn_risk_score,Action_Segment
15634602,France,Female,42,0.0,1,2,0.79,184.13,0.23,0.25,201.85,50.31,445.25,High Value,High Risk,15634602,9,1,0.0,2,619,1,France,42,1,1,101348.88,1,2,1,1,211,211,Lost,15634602,101348.88,Low Value,High,High,3,Save High-Value
15647311,Spain,Female,41,83807.86,1,1,0.03,256.41,0.01,0.02,308.5,4.92,24.6,High Value,High Risk,15647311,10,1,83807.86,1,608,1,Spain,41,1,0,112542.58,0,1,1,3,113,113,Lost,15647311,112542.58,Medium Value,High,High,3,Save High-Value
15619304,France,Female,42,159660.8,3,4,3.15,228.91,0.07,0.04,239.22,8.76,43.82,High Value,High Risk,15619304,3,3,159660.8,8,502,0,France,42,3,1,113931.57,1,5,5,5,555,555,Champions,15619304,113931.57,VIP,High,High,3,Save High-Value
15737888,Spain,Female,43,125510.82,1,2,0.03,331.7,0.0,0.0,361.92,0.05,0.24,Above Average,High Risk,15737888,9,1,125510.82,2,850,1,Spain,43,1,1,79084.1,0,2,1,4,214,214,Need Attention,15737888,79084.1,High Value,High,High,3,Save High-Value
15574012,Spain,Male,44,113755.78,2,3,3.15,269.55,0.13,0.06,285.72,15.77,157.71,High Value,High Risk,15574012,3,2,113755.78,8,645,0,Spain,44,2,1,149756.71,1,5,3,4,534,534,Loyal Customers,15574012,149756.71,High Value,High,High,3,Save High-Value
15592531,France,Male,50,0.0,2,12,0.03,245.03,0.0,0.0,248.59,0.0,0.0,Low Value,High Risk,15592531,4,2,0.0,7,822,1,France,50,2,1,10062.8,0,4,3,1,431,431,Lost,15592531,10062.8,Low Value,Low,Low,3,Low Value Churn
15656148,Germany,Female,29,115046.74,4,2,1.57,188.92,0.23,0.13,207.04,27.62,245.31,High Value,High Risk,15656148,7,4,115046.74,4,376,0,Germany,29,4,1,119346.88,1,3,5,4,354,354,Loyal Customers,15656148,119346.88,High Value,High,High,3,Save High-Value
15792365,France,Male,44,142051.07,2,6,0.03,227.83,0.0,0.0,234.58,0.0,0.0,Below Average,High Risk,15792365,7,2,142051.07,4,501,1,France,44,2,0,74940.5,0,3,3,5,335,335,Loyal Customers,15792365,74940.5,Premium,Low,Low,3,Low Value Churn
15592389,France,Male,27,134603.88,1,2,0.03,282.37,0.0,0.0,308.41,0.04,0.21,Above Average,High Risk,15592389,9,1,134603.88,2,684,1,France,27,1,1,71725.73,0,2,1,5,215,215,Need Attention,15592389,71725.73,Premium,Medium,Medium,3,Rescue Medium
15767821,France,Male,31,102016.72,2,2,0.03,233.72,0.0,0.0,255.64,0.0,0.0,Average,High Risk,15767821,5,2,102016.72,6,528,0,France,31,2,0,80181.12,0,4,3,3,433,433,Loyal Customers,15767821,80181.12,High Value,Low,Low,3,Low Value Churn
15737173,Spain,Male,24,0.0,2,1,0.03,147.53,0.0,0.0,179.47,0.2,1.0,Above Average,High Risk,15737173,8,2,0.0,3,497,0,Spain,24,2,1,76390.01,0,2,3,1,231,231,Lost,15737173,76390.01,Low Value,High,High,3,Save High-Value
15632264,France,Female,34,0.0,2,4,0.03,141.23,0.0,0.0,147.99,0.0,0.0,Below Average,High Risk,15632264,1,2,0.0,10,476,0,France,34,2,1,26260.98,0,5,3,1,531,531,Lost,15632264,26260.98,Low Value,Low,Low,3,Low Value Churn
15691483,France,Female,25,0.0,2,2,0.03,163.13,0.0,0.0,179.07,0.0,0.0,Average,High Risk,15691483,6,2,0.0,5,549,0,France,25,2,0,190857.79,0,3,3,1,331,331,Lost,15691483,190857.79,Low Value,Low,Low,3,Low Value Churn
15600882,Spain,Female,35,0.0,2,12,0.03,188.93,0.0,0.0,191.75,0.0,0.0,Low Value,High Risk,15600882,4,2,0.0,7,635,1,Spain,35,2,1,65951.65,0,4,3,1,431,431,Lost,15600882,65951.65,Low Value,Low,Low,3,Low Value Churn
15643966,Germany,Male,45,143129.41,2,5,0.03,262.38,0.0,0.0,271.64,0.0,0.0,Below Average,High Risk,15643966,8,2,143129.41,3,616,1,Germany,45,2,0,64327.26,0,2,3,5,235,235,Need Attention,15643966,64327.26,Premium,Low,Low,3,Low Value Churn
15788218,Spain,Female,24,0.0,2,15,0.03,163.13,0.0,0.0,165.11,0.0,0.0,Low Value,High Risk,15788218,2,2,0.0,9,549,1,Spain,24,2,1,14406.41,0,5,3,1,531,531,Lost,15788218,14406.41,Low Value,Low,Low,3,Low Value Churn
15661507,Spain,Male,45,0.0,1,2,0.03,174.53,0.0,0.0,191.44,0.0,0.0,Average,High Risk,15661507,5,1,0.0,6,587,0,Spain,45,1,0,158684.81,0,4,1,1,411,411,New Customers,15661507,158684.81,Low Value,Low,Low,3,Low Value Churn
15568982,France,Female,24,0.0,2,10,0.03,216.23,0.0,0.0,220.06,0.0,0.0,Low Value,High Risk,15568982,5,2,0.0,6,726,1,France,24,2,1,54724.03,0,4,3,1,431,431,Lost,15568982,54724.03,Low Value,Low,Low,3,Low Value Churn
15577657,France,Male,41,0.0,2,13,0.03,218.03,0.0,0.0,220.99,0.0,0.0,Low Value,High Risk,15577657,3,2,0.0,8,732,1,France,41,2,1,170886.17,0,5,3,1,531,531,Lost,15577657,170886.17,Low Value,Low,Low,3,Low Value Churn
15597945,Spain,Female,32,0.0,2,3,0.03,189.23,0.0,0.0,201.0,0.0,0.0,Average,High Risk,15597945,3,2,0.0,8,636,0,Spain,32,2,1,138555.46,0,5,3,1,531,531,Lost,15597945,138555.46,Low Value,Low,Low,3,Low Value Churn
15699309,Spain,Female,38,0.0,1,1,1.57,151.43,0.34,0.12,184.1,22.87,134.51,High Value,Medium Risk,15699309,7,1,0.0,4,510,0,Spain,38,1,1,118913.53,1,3,1,1,311,311,Lost,15699309,118913.53,Low Value,High,High,2,Nurture High
15725737,France,Male,46,0.0,2,5,0.03,199.13,0.0,0.0,206.36,0.0,0.0,Below Average,High Risk,15725737,8,2,0.0,3,669,1,France,46,2,0,8487.75,0,2,3,1,231,231,Lost,15725737,8487.75,Low Value,Low,Low,3,Low Value Churn
